100,278557.01315698621329, 273088.82060538919177, 270203.11064679885749, 264542.33824464789359, 254666.07347336856765, 246181.39967564929975, 241476.53635618658154, 240889.80243941894150, 243283.48159931003465, 247324.74465794116259, 252151.01447937678313, 257335.51868681589258, 262675.12425327015808, 268025.28502626792761, 273212.81962133076740, 277983.98696933413157, 281964.30684325477341, 284622.00953728036257, 285242.79363864386687, 282938.70379362918902, 276726.61225077440031, 265728.63988495647209, 249513.18310367770027, 228422.88778710601036, 203785.68204492022051, 177639.95247940625995, 152395.58868968678871, 129790.12620620291273, 110741.55154061850044, 95421.31998891889816, 83508.63573957243352, 74474.26355137740029, 67756.90901929902611, 62850.75690521081560, 59330.03647608578467, 56844.12807447471278, 55110.32154577175243, 53906.56990644455800, 53063.47139755632816, 52455.60510035607876, 51992.84588980265835, 51612.34175121446606, 51271.54339797233843, 50943.70574424853839, 50609.29601903153525, 50265.76302889754879, 49901.56611249467824, 49515.19584811215464, 49107.18385454357485, 48706.89002193831402, 
110,279533.22828440053854, 272067.27746484091040, 268989.61710428615334, 265766.88561772840330, 258134.77077319164528, 249490.69867175284890, 242783.11090773515753, 240057.17318491608603, 241185.80361201669439, 244925.85191768748336, 250112.12394390799454, 256016.13461117423140, 262257.06544744136045, 268610.39750869484851, 274864.26401363016339, 280737.45824048470240, 285820.56545470340643, 289532.83819936827058, 291095.35804304014891, 289542.34779813821660, 283805.32430188596481, 272928.98763013834832, 256437.55804426618852, 234675.68019475028268, 209045.96560716914246, 181694.21777580407797, 155212.77341119889752, 131456.55367161979666, 111410.37263512334903, 95259.81311270136212, 82666.95988108590245, 73074.00549434078857, 65900.37140913883923, 60632.12748571898555, 56843.34765702606092, 54183.65324748089915, 52366.18986212862364, 51159.68691405044228, 50382.10427348652593, 49894.23654042263661, 49592.85788896055601, 49403.78011527513445, 49274.96806625688623, 49172.94000629036600, 49071.84168316908472, 48964.85860221525218, 48841.77890007954556, 48689.18096309697285, 48516.66401259792474, 48345.38071537874930, 
120,281975.36110700818244, 272794.47769300098298, 267755.98600589646958, 265611.00392382498831, 260810.90733188454760, 253575.42529272809043, 245933.44279210170498, 241074.32477820361964, 240306.09752884888439, 243057.15149828049471, 248121.31275026290677, 254472.55790064670146, 261468.45548421819694, 268736.72592190821888, 275991.39532915054588, 282910.06191073544323, 289047.14462952810572, 293775.65096704970347, 296256.89357625460252, 295454.14330675470410, 290221.27170232532080, 279531.27334217703901, 262865.04083005501889, 240561.78119802256697, 214083.50788074475713, 185664.91069263298414, 158071.34098151244689, 133270.31796426777146, 112314.42266239995661, 95406.84864476311486, 82193.93167091412761, 72085.65274136740481, 64476.10578297116444, 58839.85197988975415, 54752.47703667481255, 51869.97706824388297, 49909.40292672217765, 48637.71933493021061, 47865.70948364835931, 47443.57684908754891, 47256.33572866854229, 47218.66628453959856, 47268.48728970716911, 47364.85653167968121, 47475.31007922198478, 47586.76018048069818, 47691.19715672011080, 47763.25209769183857, 47817.87658878450020, 47871.29423975187092, 
130,284043.84603439219063, 274740.84734137519263, 267539.36447993485490, 264765.30212710675551, 262213.66461074055405, 257414.96100927487714, 250293.27752840620815, 243999.23093863195390, 241096.93815340683796, 242191.07415022261557, 246501.66593359535909, 252875.66584168028203, 260384.69119972552289, 268430.34504615585320, 276597.51596881781006, 284491.13901553803589, 291620.60375085676787, 297314.01226911187405, 300678.36644077248638, 300613.86614058970008, 295905.49225947674131, 285460.86305386485765, 268717.90782214241335, 246002.80043393583037, 218819.54273695274605, 189474.51768378712586, 160891.99189978127833, 135149.71878398975241, 113369.08637203506078, 95776.19598267650872, 82006.09297051213798, 71435.73322314942197, 63427.90079489063646, 57439.19238317514100, 53044.03046081254433, 49907.33019999986573, 47756.37186816470785, 46363.88511771915364, 45540.08064066714724, 45129.20538084879081, 45007.07786914336612, 45078.31290521530173, 45270.75936960666877, 45535.38029427525908, 45833.12542807139107, 46142.78453965980589, 46458.46509600554418, 46744.16392393972637, 47015.95808241655322, 47288.02620322448638, 
140,284375.94417309702840, 276796.22736167261610, 268752.70850013743620, 264246.38352299376857, 262532.61325566080632, 260252.89801104817889, 254941.37572422376252, 248446.65949232949060, 243776.59725435840664, 242806.67543054823182, 245689.77512221751385, 251507.52811982383719, 259150.84050997823942, 267751.96226362866582, 276700.10365595691837, 285476.82482631818857, 293522.62951678072568, 300116.79364174313378, 304316.74694810208166, 304968.07672426081263, 300796.47906994179357, 290650.87197421980090, 273926.19320410513319, 250927.78437660209602, 223182.43762400190462, 193055.05334619930363, 163605.74952025772654, 137024.00668432857492, 114500.59572330892843, 96290.44394778825517, 82024.29290079144994, 71048.69076093746116, 62691.26517847801733, 56383.17451717318909, 51691.52065400833817, 48288.60257846016611, 45915.29464225077390, 44356.47179053790751, 43428.75592991027952, 42976.26640739055438, 42869.50633869693411, 43005.15881487793376, 43301.77219489977870, 43701.82720541276649, 44159.96874686242518, 44645.48683971174614, 45153.56822446975275, 45639.66306901312055, 46116.97963492299459, 46599.99698870145221, 
150,282700.10707691340940, 277923.23842079110909, 271009.28307034471072, 264852.38847419322701, 262492.43237010081066, 261866.35566100757569, 258997.58528123231372, 253658.20800753717776, 248180.27297229660326, 245235.47912375815213, 246170.02712142927339, 250767.55642790650018, 258012.79694592219312, 266824.23963540582918, 276344.96963731170399, 285875.49962079402758, 294741.69037660711911, 302158.68248346546898, 307135.37880024104379, 308470.58326032804325, 304840.59562267863657, 295042.49702564824838, 278427.79987565887859, 255273.17867674850277, 227109.22363042831421, 196345.03410165285459, 166152.74204646737780, 138832.77235838866909, 115646.28054279128264, 96882.78706809392315, 82177.31729600498511, 70851.79171061185480, 62198.19848561746767, 55615.84177154231293, 50656.49614322285925, 46994.63946576858143, 44384.42441580424202, 42626.89673449684778, 41551.39936936325103, 41008.36115672068263, 40868.03500323600019, 41022.47819981483917, 41382.74045388695959, 41882.91181686319032, 42471.86874187413923, 43108.69621930715221, 43787.88534569908370, 44458.64618078253261, 45127.96311270396109, 45812.60082103956665, 
160,279832.82092759007355, 277674.81641290883999, 273392.27636131964391, 266756.18213442567503, 262975.10194548894651, 262622.38075311016291, 261935.16612440769677, 258741.58318084490020, 253740.60781787990709, 249498.89810627669794, 248349.71422656485811, 251131.47271392573020, 257332.79740756269894, 265860.94346750975819, 275631.81678642128827, 285720.30469277134398, 295277.74506518215640, 303421.78267352818511, 309104.67643687449163, 311082.99441070866305, 307992.60642466042191, 298585.44095690967515, 282168.75346830539638, 258982.85505846384331, 230543.91403199345223, 199289.95767183994758, 168480.85855164029635, 140524.76073683446157, 116753.87553997036594, 97497.42314315352996, 82403.97009296045871, 70778.95080733973009, 61881.87394640086859, 55076.39404117195954, 49891.01976436942641, 45994.74387572694104, 43151.03983262840484, 41177.93618239325588, 39921.99899730640027, 39246.12327825024113, 39026.13878912905056, 39153.87947564144997, 39535.88035701684566, 40098.70040829906793, 40786.23671393938275, 41547.53728961363231, 42374.23955631392164, 43211.36188188213418, 44057.00149750331184, 44932.24196671562095, 
170,277173.83721159218112, 276358.59918873367133, 274984.29640710382955, 269448.99118113244185, 264560.26002265093848, 263279.03702384169446, 263761.55911388294771, 262973.75952543248422, 259633.02165821951348, 255225.70871498351335, 252401.27241320523899, 253053.13518693804508, 257568.09932180543547, 265188.69161129632266, 274744.38752258691238, 285089.75447888165945, 295152.72390048549278, 303899.80899339070311, 310203.73623615107499, 312775.53271022142144, 310216.28208006429486, 301238.38429515692405, 285103.54913676966680, 262008.25978919494082, 233437.23677825825871, 201841.68229636008618, 170544.62918831652496, 142056.47221967807855, 117780.25890084472485, 98088.93816670756496, 82653.75024701340590, 70773.17111663722608, 61680.56692167257279, 54703.54172560320876, 49341.15356758624694, 45248.44750046071567, 42191.42848954477813, 40002.46263124742109, 38547.10839759423106, 37705.56365514838399, 37365.10967034655914, 37422.53599857981317, 37784.00432878763240, 38370.44811307169584, 39121.89936475252034, 39978.45158756141609, 40926.84477629285539, 41909.52469727661810, 42913.40393203080021, 43966.41405142091389, 
180,275923.65095997654134, 274815.78618263598764, 275337.75433553487528, 272056.63822555897059, 267239.55968380899867, 264608.74720158829587, 264982.49752684199484, 266046.65124567685416, 265035.79835336341057, 261711.95629587516305, 258139.75583512516459, 256822.39593025727663, 259196.68511283429689, 265239.86001731094439, 273976.19537419528933, 284137.32703736476833, 294428.57476195809431, 303607.02680412074551, 310424.07812832674244, 313528.57029961154331, 311485.18924658832839, 302969.50379560049623, 287195.53332384873647, 264308.66905577993020, 235746.62513043385115, 203957.99129181200988, 172304.32112911180593, 143390.82070282206405, 118689.95410929394711, 98621.06571498262929, 82886.44467534866999, 70787.60994842085347, 61540.41936762829573, 54439.42474832240259, 48950.90181571756693, 44708.34693668412365, 41472.02863754224381, 39083.00928031687363, 37424.43031546782004, 36396.36160224843479, 35902.54947531077778, 35850.11702519682149, 36149.88160561235418, 36720.26637863728683, 37499.02692175171251, 38419.25570650544250, 39461.30411920175538, 40566.35059151126188, 41707.80309951394884, 42923.78041668820515, 
190,276442.57922726427205, 273958.24809231038671, 274668.38135180273093, 273818.42196267162217, 270448.45448083023075, 267014.22951144381659, 266360.28545076621231, 268163.00956368568586, 269397.58607813058188, 268117.75758678920101, 265011.61709059815621, 262422.31417312182020, 262594.85256898595253, 266499.81010823283577, 273732.32109571888577, 283121.68201532651437, 293234.77399641927332, 302594.37049153738189, 309777.35395544511266, 313335.84574708133005, 311784.01662089262391, 303757.11975268094102, 288417.31064933969174, 265851.49838996457402, 237436.35523675839067, 205602.39294476379291, 173725.30288738125819, 144496.00658753720927, 119453.46706488823111, 99065.16655372822424, 83071.02610707806889, 70785.60438080056338, 61416.93011038558325, 54232.62167980357481, 48666.01088465745852, 44323.58026885896834, 40951.64424409679486, 38392.36426970822504, 36542.05300115692808, 35320.35911784645577, 34650.73279192788323, 34455.43728225533414, 34655.32498999622476, 35170.57589330797782, 35938.90162713219615, 36889.13955757979420, 37994.61364800279262, 39196.59057918534381, 40452.28026164413313, 41814.30386964703939, 
